Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,PAS_Iterations,PAS_Cost,PAS_Time,PAS_Feasible,PAS_Stop_Reason,Tulip_Iterations,Tulip_Cost,Tulip_Time,Tulip_Feasible,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time,HiGHS_Feasible
lp_standmps.mat,1274,467,594958,3878,false,1405,598,840190,4140,70,1405.9702052863963,31.7914686,false,stop_small_ρ,15,1406.0175001005036,0.0220263,true,221,1406.0175,0.005549907684326172,true
lp_ship04l.mat,2166,402,870732,6380,true,2166,402,870732,6380,15,418157.0615349376,6.6514515,false,stop_small_ρ,14,1.7933245342318797e6,0.022096,true,382,1.793324537970356e6,0.006999015808105469,true
lp_bnl1.mat,1586,643,1019798,5532,true,1586,643,1019798,5532,136,1708.9694828007027,63.0140025,false,stop_gap_reached,29,1977.629609842093,0.0422631,true,842,1977.6295615228878,0.023370027542114258,true
lp_scsd8.mat,2750,397,1091750,8584,true,2750,397,1091750,8584,13,0.0021154670240189147,9.876855,false,stop_small_ρ,11,904.9999998278263,0.0280294,true,1054,904.9999999254644,0.032685041427612305,true
lp_modszk1.mat,1620,687,1112940,3168,false,1622,689,1117558,3172,0,Inf,Inf,false,stop_error,22,109301.46103251932,0.0195791,true,0,Inf,Inf,false
lp_grow15.mat,645,300,193500,5620,false,1245,900,1120500,6820,4,-2143.345996373287,15.9078742,false,stop_small_ρ,15,-1.068709412309452e8,0.0230521,false,1198,-1.0687094129357538e8,0.03567910194396973,false
lp_pilot4.mat,1123,410,460430,5264,false,1488,775,1153200,5994,0,Inf,Inf,false,stop_error,0,0.0,0.0011322,false,0,Inf,Inf,false
lp_gfrd_pnc.mat,1160,616,714560,2445,false,1420,876,1243920,2965,172,7.048471673772933e6,142.2915635,false,stop_small_ρ,15,6.9022359918900905e6,0.0202735,true,297,6.902235999548809e6,0.006380796432495117,true
lp_qap8.mat,1632,912,1488384,7296,true,1632,912,1488384,7296,0,Inf,Inf,false,stop_error,9,203.49999971127357,0.2812796,true,7152,203.50000000000102,0.5037219524383545,true
lp_25fv47.mat,1876,821,1540196,10705,true,1876,821,1540196,10705,225,5502.072164841466,223.3529298,true,stop_small_ρ,23,5501.845965937146,0.0841391,true,2944,5501.8458882867435,0.14265799522399902,true
